No.,Food Item,Category,1 Serving Size,Total Weight (g),Protein (g),Fats (g),Carbohydrates (g),Calories (kcal),Breakfast,Snack 1,Lunch,Snack 2,Dinner,User Preference,Source
1493,Cold-Pressed Traditional Tempeh,Protein,Palm-sized portion,58.5,10.48,8.24,0.0,116.1,0,0,0,0,0,0.5,Synthetic
1494,Marinated Medley White Beans,Protein,1 medium chicken thigh,83.83,27.43,8.91,2.9,201.5,0,0,0,0,1,0.25,Synthetic
1495,Whipped Premium Chicken Breast,Protein,1 egg,78.53,12.67,0.5,0.86,58.6,0,0,0,0,0,1.0,Synthetic
1496,Local Farm-Fresh Tempeh,Protein,1/2 small chicken breast,71.15,31.0,2.7,2.52,158.4,0,0,0,0,0,0.25,Synthetic
1497,Roasted Garden Beef Strips,Protein,1 piece,57.53,25.4,1.1,0.0,111.5,0,0,0,0,1,0.0,Synthetic
1498,Frozen Medley Chickpeas,Protein,Palm-sized portion,87.48,20.7,5.62,4.2,150.2,0,0,0,0,0,1.0,Synthetic
1499,Cold-Pressed Farm-Fresh Edamame,Protein,Palm-sized portion,73.82,12.47,4.86,0.0,93.6,0,0,0,0,1,0.5,Synthetic
1500,Roasted Medley Turkey Slices,Protein,1 egg,64.52,14.34,0.5,0.0,61.9,0,0,0,0,0,0.75,Synthetic
1501,Whole Style Mackerel Fillet,Protein,1 medium chicken thigh,73.79,18.31,7.29,0.3,140.0,0,0,0,0,0,0.25,Synthetic
1502,Steamed Gourmet Salmon Fillet,Protein,1 piece,78.98,13.59,5.23,3.63,116.0,0,0,0,0,0,0.25,Synthetic
1503,Dried Bahraini Lamb Chop,Protein,Palm-sized portion,140.17,16.13,6.89,0.0,126.5,0,0,0,0,0,0.5,Synthetic
1504,Boiled Selection Cod Fillet,Protein,1 piece,87.59,27.15,0.55,0.0,113.5,0,0,0,0,0,0.75,Synthetic
1505,Seasonal Premium Mackerel Fillet,Protein,Palm-sized portion,104.68,23.59,8.81,0.61,176.1,0,0,0,0,1,0.0,Synthetic
1506,Fresh Variety Beef Steak,Protein,1 medium chicken thigh,91.0,6.75,3.99,0.0,62.9,1,0,0,0,0,0.0,Synthetic
1507,Fresh Medley White Beans,Protein,1 piece,66.41,26.87,2.82,1.63,139.4,1,0,0,0,1,1.0,Synthetic
1508,Local Special Cod Fillet,Protein,1 piece,45.27,1.2,0.5,0.0,9.3,1,0,0,0,0,0.5,Synthetic
1509,Smoked Variety White Beans,Protein,1 medium chicken thigh,95.61,4.43,5.89,0.22,71.6,0,0,0,0,1,1.0,Synthetic
1510,Baked Heritage Pork Tenderloin,Protein,1/2 small chicken breast,78.28,15.92,18.8,0.0,232.9,0,0,0,0,1,0.0,Synthetic
1511,Baked Garden Chicken Breast,Protein,Palm-sized portion,59.23,25.44,1.83,0.0,118.2,1,0,1,0,0,0.5,Synthetic
1512,Dried Medley Turkey Slices,Protein,Palm-sized portion,88.45,13.55,6.29,0.0,110.8,1,0,0,0,0,1.0,Synthetic
1513,Pickled Bahraini Lentils,Protein,1 piece,121.23,12.09,9.47,0.0,133.6,0,0,0,0,1,0.75,Synthetic
1514,Seasonal Bahraini Lamb Chop,Protein,1 piece,65.55,17.87,4.16,1.03,113.0,0,0,1,0,1,0.75,Synthetic
1515,Cold-Pressed Bahraini Tempeh,Protein,1 piece,75.65,16.58,0.5,2.25,79.8,1,0,1,0,1,0.0,Synthetic
1516,Dried Heritage Salmon Fillet,Protein,Palm-sized portion,64.67,21.84,8.88,0.0,167.3,0,0,1,0,0,0.0,Synthetic
1517,Enriched Garden Black Beans,Protein,Palm-sized portion,55.49,17.11,4.02,0.0,104.6,1,0,0,0,1,1.0,Synthetic
1518,Fresh Premium Edamame,Protein,1 medium chicken thigh,114.81,24.65,0.96,0.84,110.6,0,0,0,0,1,0.0,Synthetic
1519,Enriched Selection Beef Steak,Protein,Palm-sized portion,81.58,10.49,0.53,0.0,46.7,0,0,0,0,1,0.25,Synthetic
1520,Zero-Fat Special Tempeh,Protein,Palm-sized portion,90.45,28.35,7.61,3.2,194.7,1,0,1,0,0,0.5,Synthetic
1521,Fortified Farm-Fresh Black Beans,Protein,1 piece,90.54,11.13,8.54,3.24,134.3,0,0,0,0,0,1.0,Synthetic
1522,Raw Style Beef Strips,Protein,Palm-sized portion,130.9,10.13,8.75,4.35,136.7,0,0,0,0,0,1.0,Synthetic
1523,Spiced Traditional Edamame,Protein,1 medium chicken thigh,94.04,16.89,3.55,0.57,101.8,1,0,1,0,1,0.0,Synthetic
1524,Whole Style Lamb Chop,Protein,1 medium chicken thigh,81.74,14.09,0.5,0.06,61.1,1,0,0,0,1,1.0,Synthetic
1525,Spiced Medley Egg Omelette,Protein,1/2 small chicken breast,71.78,8.85,0.5,0.0,39.9,1,0,0,0,0,1.0,Synthetic
1526,Homemade Variety Cod Fillet,Protein,1 egg,123.39,19.81,14.43,0.89,212.7,0,0,0,0,0,1.0,Synthetic
1527,Plain Garden Turkey Slices,Protein,1 medium chicken thigh,91.24,8.06,8.21,2.65,116.7,0,0,0,0,1,0.75,Synthetic
1528,Premium Original Lentils,Protein,1 piece,85.32,12.37,6.8,0.0,110.7,0,0,0,0,1,0.75,Synthetic
1529,Fortified Heritage Chicken Breast,Protein,1 medium chicken thigh,84.7,18.43,12.46,1.77,192.9,1,0,1,0,0,1.0,Synthetic
1530,Spiced Variety Pork Tenderloin,Protein,Palm-sized portion,144.0,15.71,9.87,1.96,159.5,1,0,0,0,1,0.0,Synthetic
1531,Sun-Dried Medley Salmon Fillet,Protein,1 medium chicken thigh,43.11,6.42,11.05,1.51,131.2,0,0,1,0,1,0.0,Synthetic
1532,Roasted Classic Pork Tenderloin,Protein,Palm-sized portion,70.0,7.12,0.5,2.29,42.1,1,0,1,0,1,0.5,Synthetic
1533,High-Protein Farm-Fresh White Beans,Protein,1 medium chicken thigh,79.11,28.77,5.6,0.04,165.6,1,0,0,0,0,0.5,Synthetic
1534,Cold-Pressed Special Black Beans,Protein,1 medium chicken thigh,63.13,13.34,4.61,3.45,108.6,0,0,0,0,1,0.75,Synthetic
1535,Lightly-Salted Selection Pork Tenderloin,Protein,1 piece,99.39,10.28,11.35,4.3,160.5,1,0,1,0,0,0.25,Synthetic
1536,Dried Blend Chickpeas,Protein,Palm-sized portion,60.18,5.09,2.17,0.0,39.9,1,0,0,0,1,0.0,Synthetic
1537,Cold-Pressed Premium Turkey Slices,Protein,1 egg,98.4,18.58,11.09,0.0,174.1,1,0,0,0,1,0.75,Synthetic
1538,Baked Selection Tempeh,Protein,1/2 small chicken breast,105.72,1.66,2.25,1.39,32.5,0,0,0,0,0,0.25,Synthetic
1539,Plain Heritage Chickpeas,Protein,1 piece,95.79,21.37,10.6,1.56,187.1,1,0,0,0,0,0.5,Synthetic
1540,High-Protein Classic Tuna Fillet,Protein,Palm-sized portion,83.74,4.52,7.04,1.05,85.6,1,0,0,0,1,0.5,Synthetic
1541,Steamed Selection Chicken Breast,Protein,1 egg,78.55,16.52,7.8,0.0,136.3,0,0,0,0,1,0.0,Synthetic
1542,Enriched Mix White Beans,Protein,Palm-sized portion,58.77,18.06,12.76,0.0,187.1,0,0,0,0,0,0.25,Synthetic
1543,Whole Arabian Shrimp,Protein,1 egg,74.75,12.14,1.85,2.03,73.3,0,0,0,0,0,0.0,Synthetic
1544,Raw Farm-Fresh Mackerel Fillet,Protein,1 medium chicken thigh,83.95,10.79,5.52,0.61,95.3,1,0,0,0,0,0.75,Synthetic
1545,Homemade Blend Cod Fillet,Protein,1/2 small chicken breast,105.89,20.62,2.89,0.0,108.5,1,0,0,0,0,0.25,Synthetic
1546,Reduced-Fat Style Sardines,Protein,1 medium chicken thigh,114.98,19.01,8.67,2.42,163.8,1,0,0,0,0,1.0,Synthetic
1547,Enriched Style Beef Strips,Protein,1 piece,72.73,24.66,0.5,0.0,103.1,0,0,1,0,1,0.0,Synthetic
1548,Enriched Wild Tofu,Protein,1 piece,97.25,29.46,12.44,0.26,230.8,0,0,0,0,1,1.0,Synthetic
1549,Cold-Pressed Classic Mackerel Fillet,Protein,1 medium chicken thigh,98.46,24.93,5.31,0.0,147.5,1,0,1,0,0,0.0,Synthetic
1550,Zero-Fat Arabian Lentils,Protein,1 egg,44.96,10.53,5.24,0.0,89.3,0,0,0,0,1,0.25,Synthetic
1551,Pickled Special Tofu,Protein,1 egg,115.56,21.69,6.47,1.8,152.2,1,0,0,0,0,0.75,Synthetic
1552,Unsalted Variety Mackerel Fillet,Protein,1 egg,115.24,24.39,7.07,0.95,165.0,1,0,0,0,1,0.0,Synthetic
1553,Grilled Heritage Salmon Fillet,Protein,1 egg,99.65,25.16,0.5,0.0,105.1,1,0,0,0,1,0.75,Synthetic
1554,Dried Blend Cod Fillet,Protein,1 egg,51.12,18.57,8.33,0.11,149.7,0,0,0,0,1,0.25,Synthetic
1555,Premium Gourmet Lentils,Protein,1/2 small chicken breast,62.14,25.46,0.5,2.48,116.3,1,0,0,0,0,1.0,Synthetic
1556,Cold-Pressed Farm-Fresh White Beans,Protein,1 piece,71.74,23.61,2.45,1.08,120.8,0,0,0,0,1,0.0,Synthetic
1557,Lightly-Salted Blend Mackerel Fillet,Protein,1 medium chicken thigh,91.89,18.02,5.66,0.0,123.0,0,0,0,0,1,0.25,Synthetic
1558,Spiced Selection Shrimp,Protein,1 egg,70.67,10.78,1.85,0.0,59.8,0,0,0,0,1,0.25,Synthetic
1559,Premium Selection Cod Fillet,Protein,1/2 small chicken breast,47.42,26.7,9.46,0.0,191.9,0,0,0,0,1,1.0,Synthetic
1560,Organic Mix Lentils,Protein,1 medium chicken thigh,75.35,20.53,4.33,0.0,121.1,1,0,0,0,0,0.5,Synthetic
1561,Herb-Infused Classic Beef Steak,Protein,1 egg,108.61,21.94,7.58,0.0,156.0,0,0,0,0,1,0.5,Synthetic
1562,Organic Special Lamb Chop,Protein,1 piece,49.29,25.9,5.97,0.42,159.0,1,0,0,0,0,0.0,Synthetic
1563,Premium Arabian Beef Strips,Protein,1/2 small chicken breast,88.14,18.84,10.51,0.0,169.9,0,0,0,0,0,1.0,Synthetic
1564,Fresh Arabian Shrimp,Protein,1/2 small chicken breast,110.02,23.43,0.65,0.0,99.6,1,0,0,0,0,0.5,Synthetic
1565,Roasted Gourmet Mackerel Fillet,Protein,Palm-sized portion,97.33,21.39,7.75,-0.0,155.3,0,0,0,0,1,0.5,Synthetic
1566,Enriched Wild Sardines,Protein,1/2 small chicken breast,62.66,18.23,3.73,0.0,106.5,0,0,0,0,0,0.0,Synthetic
1567,Zero-Fat Medley Shrimp,Protein,Palm-sized portion,69.71,28.42,14.69,0.81,249.1,1,0,0,0,1,0.5,Synthetic
1568,Reduced-Fat Gourmet Pork Tenderloin,Protein,1 piece,65.62,16.34,4.17,0.0,102.9,0,0,0,0,0,0.0,Synthetic
1569,Lightly-Salted Mix Beef Steak,Protein,1 egg,47.49,15.59,7.49,0.24,130.7,0,0,0,0,1,0.0,Synthetic
1570,Reduced-Fat Selection Chicken Breast,Protein,1 piece,144.0,12.61,5.12,1.66,103.2,0,0,0,0,0,0.0,Synthetic
1571,Zero-Fat Special Chickpeas,Protein,1 medium chicken thigh,97.36,27.66,9.41,1.99,203.3,0,0,0,0,1,0.75,Synthetic
1572,Dried Garden White Beans,Protein,Palm-sized portion,68.08,22.41,0.5,0.0,94.1,0,0,1,0,1,1.0,Synthetic
1573,Plain Mix Edamame,Protein,1 medium chicken thigh,58.6,20.2,6.91,0.0,143.0,0,0,0,0,1,0.0,Synthetic
1574,Roasted Medley Beef Strips,Protein,1 medium chicken thigh,83.13,23.15,9.59,0.0,178.9,0,0,0,0,0,0.0,Synthetic
1575,Whole Farm-Fresh Egg Omelette,Protein,Palm-sized portion,90.85,19.37,2.57,0.0,100.6,0,0,0,0,0,1.0,Synthetic
1576,Cold-Pressed Garden Tofu,Protein,1/2 small chicken breast,113.23,21.32,4.72,1.72,134.6,0,0,1,0,0,0.5,Synthetic
1577,Pickled Bahraini Chicken Breast,Protein,Palm-sized portion,71.42,1.2,5.19,0.0,51.5,1,0,1,0,1,0.0,Synthetic
1578,Whole Original Black Beans,Protein,1 egg,84.43,7.4,2.96,2.08,64.6,1,0,0,0,0,1.0,Synthetic
1579,Dried Arabian Lentils,Protein,1/2 small chicken breast,91.56,23.04,0.5,3.78,111.8,1,0,0,0,0,1.0,Synthetic
1580,Steamed Wild Tuna Fillet,Protein,1 egg,82.71,22.67,11.71,0.0,196.1,1,0,0,0,1,1.0,Synthetic
1581,Extra-Virgin Garden Egg Omelette,Protein,1 medium chicken thigh,75.13,11.53,2.92,0.48,74.3,0,0,0,0,1,0.25,Synthetic
1582,Boiled Farm-Fresh Cod Fillet,Protein,1 piece,114.53,11.18,8.64,0.0,122.5,1,0,1,0,1,0.5,Synthetic
1583,Seasonal Special Sardines,Protein,1 medium chicken thigh,66.76,23.54,4.92,0.0,138.4,0,0,0,0,1,1.0,Synthetic
1584,Cold-Pressed Wild Tofu,Protein,1 egg,34.95,19.41,2.38,1.58,105.4,1,0,0,0,1,0.5,Synthetic
1585,Pickled Garden Pork Tenderloin,Protein,1 medium chicken thigh,54.29,14.42,10.84,0.22,156.1,1,0,0,0,1,0.5,Synthetic
1586,Baked Wild Salmon Fillet,Protein,1 medium chicken thigh,85.61,23.52,10.23,0.0,186.2,1,0,0,0,1,0.75,Synthetic
1587,Smoked Arabian Chicken Breast,Protein,1 piece,73.76,3.37,0.65,2.14,27.9,0,0,1,0,0,0.5,Synthetic
1588,Whole Heritage Chickpeas,Protein,1/2 small chicken breast,59.61,18.79,8.94,0.0,155.6,0,0,1,0,0,0.25,Synthetic
1589,Zero-Fat Selection Shrimp,Protein,1/2 small chicken breast,77.16,31.0,9.77,2.16,220.6,0,0,0,0,1,1.0,Synthetic
1590,Premium Bahraini Black Beans,Protein,1 piece,104.22,17.98,5.78,2.7,134.7,1,0,1,0,0,0.5,Synthetic
1591,Plain Arabian Tuna Fillet,Protein,1 medium chicken thigh,67.78,9.82,13.81,0.73,166.5,0,0,0,0,0,0.25,Synthetic
1592,Smoked Premium Cod Fillet,Protein,1 egg,94.91,28.29,8.04,0.0,185.5,1,0,0,0,0,0.5,Synthetic
1593,Seasonal Original Lamb Chop,Protein,1 egg,59.77,20.51,14.38,0.0,211.5,0,0,0,0,0,0.25,Synthetic
1594,Herb-Infused Premium Lentils,Protein,1/2 small chicken breast,103.2,11.05,3.9,1.75,86.3,0,0,0,0,1,0.5,Synthetic
1595,Premium Blend Chickpeas,Protein,1 medium chicken thigh,105.06,29.36,10.97,3.03,228.3,0,0,0,0,1,1.0,Synthetic
1596,Marinated Mix Tuna Fillet,Protein,1 piece,65.71,22.95,1.69,0.48,108.9,0,0,0,0,1,0.0,Synthetic
1597,Frozen Selection Beef Strips,Protein,1/2 small chicken breast,42.01,17.02,1.01,2.29,86.3,1,0,0,0,1,1.0,Synthetic
1598,Organic Wild Cod Fillet,Protein,1 piece,61.34,25.05,13.57,0.0,222.3,1,0,0,0,0,0.75,Synthetic
1599,Low-Fat Wild Salmon Fillet,Protein,1 medium chicken thigh,110.05,26.52,4.93,0.0,150.4,0,0,0,0,1,1.0,Synthetic
1600,Seasonal Variety Chicken Breast,Protein,1 medium chicken thigh,118.85,22.0,2.89,1.8,121.2,0,0,0,0,1,0.25,Synthetic
1601,Zero-Fat Arabian Lamb Chop,Protein,1 medium chicken thigh,61.28,17.23,4.06,1.16,110.1,0,0,1,0,0,0.75,Synthetic
1602,Frozen Selection Beef Steak,Protein,1 egg,89.0,6.1,1.99,1.65,48.9,1,0,0,0,1,1.0,Synthetic
1603,Steamed Premium Beef Strips,Protein,Palm-sized portion,88.55,13.74,6.68,0.0,115.1,0,0,0,0,1,0.25,Synthetic
1604,Whipped Bahraini Salmon Fillet,Protein,1 piece,112.97,18.31,2.29,0.0,93.8,0,0,0,0,0,0.0,Synthetic
1605,Baked Farm-Fresh Lentils,Protein,1 medium chicken thigh,29.11,18.02,9.47,0.47,159.2,1,0,0,0,1,0.25,Synthetic
1606,Lightly-Salted Blend Edamame,Protein,1 egg,72.88,17.17,10.36,0.33,163.2,0,0,0,0,1,0.25,Synthetic
1607,Organic Mix Chicken Breast,Protein,1 medium chicken thigh,113.78,17.6,3.42,1.76,108.2,0,0,0,0,0,0.25,Synthetic
1608,Whipped Mix Tempeh,Protein,Palm-sized portion,57.5,26.74,0.5,3.62,125.9,1,0,0,0,1,1.0,Synthetic
1609,Unsalted Medley Sardines,Protein,1/2 small chicken breast,82.75,22.43,6.71,3.56,164.4,0,0,0,0,0,0.75,Synthetic
1610,Enriched Bahraini Sardines,Protein,1 piece,127.67,13.81,1.22,0.0,66.2,0,0,0,0,1,1.0,Synthetic
1611,Sun-Dried Variety White Beans,Protein,Palm-sized portion,63.51,8.71,8.89,0.0,114.9,1,0,0,0,0,0.75,Synthetic
1612,Whipped Classic Mackerel Fillet,Protein,Palm-sized portion,93.75,23.8,13.23,2.48,224.2,1,0,0,0,0,1.0,Synthetic
1613,Baked Classic Salmon Fillet,Protein,1 piece,81.11,23.99,9.13,1.96,186.0,1,0,0,0,1,1.0,Synthetic
1614,Reduced-Fat Garden Sardines,Protein,Palm-sized portion,103.43,11.75,1.5,3.07,72.8,0,0,0,0,1,0.25,Synthetic
1615,Homemade Special Lentils,Protein,1/2 small chicken breast,83.5,7.99,9.33,0.65,118.5,0,0,0,0,1,0.75,Synthetic
1616,Organic Garden Lentils,Protein,1/2 small chicken breast,62.42,13.97,9.06,0.0,137.4,0,0,1,0,1,1.0,Synthetic
1617,Lightly-Salted Premium Turkey Slices,Protein,1/2 small chicken breast,62.75,11.96,19.48,1.72,230.0,0,0,0,0,0,1.0,Synthetic
1618,High-Protein Farm-Fresh Tofu,Protein,1/2 small chicken breast,105.2,14.74,4.49,0.0,99.4,0,0,0,0,1,1.0,Synthetic
1619,Raw Heritage Turkey Slices,Protein,1 medium chicken thigh,73.92,20.03,13.57,1.55,208.4,1,0,0,0,1,0.5,Synthetic
1620,Spiced Arabian Salmon Fillet,Protein,1/2 small chicken breast,82.21,19.51,11.51,2.01,189.7,0,0,0,0,1,1.0,Synthetic
1621,Sun-Dried Original Turkey Slices,Protein,Palm-sized portion,85.56,31.0,9.22,1.54,213.1,0,0,0,0,1,0.75,Synthetic
1622,Fresh Special Cod Fillet,Protein,1/2 small chicken breast,76.72,11.86,0.5,0.0,51.9,0,0,0,0,0,0.75,Synthetic
1623,Organic Heritage Edamame,Protein,1 piece,99.02,23.52,3.38,0.0,124.5,1,0,0,0,0,1.0,Synthetic
1624,Cold-Pressed Classic Turkey Slices,Protein,1 piece,104.44,13.13,2.81,1.14,82.4,1,0,1,0,0,0.75,Synthetic
1625,Cold-Pressed Premium Tuna Fillet,Protein,Palm-sized portion,84.86,15.51,0.5,0.37,68.0,0,0,1,0,1,0.5,Synthetic
1626,Seasonal Special Cod Fillet,Protein,1 egg,41.57,26.86,11.19,1.45,213.9,0,0,0,0,1,0.5,Synthetic
1627,Sun-Dried Garden White Beans,Protein,1 medium chicken thigh,71.09,7.84,0.5,0.38,37.4,0,0,0,0,1,0.25,Synthetic
1628,Plain Garden Cod Fillet,Protein,1 piece,49.77,15.8,4.87,0.53,109.2,0,0,0,0,0,0.75,Synthetic
1629,Organic Arabian Beef Steak,Protein,1 medium chicken thigh,5.59,3.92,0.99,0.4,26.2,0,0,0,0,0,0.5,Synthetic
1630,Raw Bahraini Cod Fillet,Protein,1 piece,116.14,23.8,9.11,0.68,179.9,1,0,0,0,0,0.0,Synthetic
1631,Boiled Variety Chicken Breast,Protein,1/2 small chicken breast,72.92,14.73,3.07,0.0,86.5,1,0,0,0,1,0.0,Synthetic
1632,Natural Arabian Salmon Fillet,Protein,1 egg,109.36,18.93,4.87,3.07,131.8,1,0,1,0,0,0.25,Synthetic
1633,Reduced-Fat Special Egg Omelette,Protein,1 piece,80.51,19.3,7.38,0.84,147.0,0,0,0,0,0,1.0,Synthetic
1634,Pickled Style Beef Strips,Protein,1 medium chicken thigh,61.25,15.41,8.41,0.0,137.3,0,0,0,0,0,0.5,Synthetic
1635,Whole Garden Black Beans,Protein,Palm-sized portion,93.47,19.17,3.38,0.0,107.1,0,0,0,0,0,1.0,Synthetic
1636,Pickled Arabian Lamb Chop,Protein,1 egg,116.83,15.72,0.7,0.0,69.2,1,0,0,0,0,0.5,Synthetic
1637,Organic Selection Chicken Breast,Protein,1 medium chicken thigh,79.17,25.96,5.86,0.47,158.5,1,0,0,0,1,0.25,Synthetic
1638,Baked Style Salmon Fillet,Protein,Palm-sized portion,106.22,18.54,0.88,1.78,89.2,1,0,0,0,0,0.75,Synthetic
1639,Homemade Original White Beans,Protein,1 piece,95.14,29.23,5.33,2.12,173.4,1,0,0,0,0,0.0,Synthetic
1640,Marinated Original Turkey Slices,Protein,1 medium chicken thigh,76.68,24.36,2.21,0.0,117.3,1,0,0,0,0,0.25,Synthetic
1641,High-Protein Arabian Beef Strips,Protein,1 piece,75.85,21.68,3.5,0.95,122.0,1,0,0,0,0,0.75,Synthetic
1642,Marinated Medley Mackerel Fillet,Protein,1/2 small chicken breast,44.1,11.89,7.46,2.54,124.9,0,0,0,0,1,0.75,Synthetic
1643,Enriched Gourmet Tuna Fillet,Protein,1 egg,93.94,17.08,5.71,2.02,127.8,0,0,0,0,0,0.25,Synthetic
1644,Enriched Heritage Turkey Slices,Protein,1 egg,87.83,17.95,2.09,0.02,90.7,0,0,0,0,0,0.5,Synthetic
1645,Seasonal Garden Edamame,Protein,1 medium chicken thigh,91.24,13.83,6.32,1.5,118.2,0,0,0,0,1,0.25,Synthetic
1646,Zero-Fat Farm-Fresh Tofu,Protein,1 egg,67.82,31.0,1.46,1.99,145.1,0,0,0,0,1,0.75,Synthetic
1647,Natural Selection Edamame,Protein,1 piece,122.27,23.59,0.82,2.63,112.3,1,0,0,0,0,0.0,Synthetic
1648,Low-Fat Classic Turkey Slices,Protein,Palm-sized portion,54.83,19.76,13.76,0.1,203.3,0,0,0,0,0,0.75,Synthetic
1649,Enriched Variety Egg Omelette,Protein,1/2 small chicken breast,99.46,16.34,7.93,0.0,136.7,0,0,0,0,1,0.25,Synthetic
1650,Reduced-Fat Special Black Beans,Protein,Palm-sized portion,76.5,31.0,5.85,0.0,176.7,0,0,0,0,0,0.75,Synthetic
1651,Reduced-Fat Classic Salmon Fillet,Protein,1 piece,46.13,1.2,16.27,1.16,155.9,0,0,0,0,1,0.0,Synthetic
1652,Grilled Style White Beans,Protein,1 piece,102.92,1.2,5.17,0.0,51.3,0,0,0,0,0,0.0,Synthetic
1653,Sun-Dried Style Tuna Fillet,Protein,1/2 small chicken breast,121.89,14.71,4.5,4.73,118.3,1,0,0,0,1,0.25,Synthetic
1654,Raw Original Shrimp,Protein,1 egg,90.98,27.53,9.32,0.0,194.0,1,0,0,0,1,0.25,Synthetic
1655,Smoked Traditional Beef Steak,Protein,1 medium chicken thigh,127.54,21.44,1.34,1.29,103.0,0,0,0,0,0,1.0,Synthetic
1656,Seasonal Arabian Salmon Fillet,Protein,1 piece,78.28,17.91,12.17,0.59,183.5,1,0,0,0,1,0.75,Synthetic
1657,Local Premium Beef Strips,Protein,1 piece,69.52,19.21,10.66,1.79,179.9,0,0,0,0,1,0.75,Synthetic
1658,Organic Premium Mackerel Fillet,Protein,1 egg,107.96,21.75,9.76,3.51,188.9,0,0,0,0,0,0.25,Synthetic
1659,Herb-Infused Special Pork Tenderloin,Protein,1 piece,110.05,22.36,1.32,0.87,104.8,1,0,0,0,0,0.75,Synthetic
1660,Fresh Classic Pork Tenderloin,Protein,1 medium chicken thigh,75.53,7.2,2.02,0.0,47.0,0,0,0,0,1,0.75,Synthetic
1661,Fresh Selection Mackerel Fillet,Protein,1/2 small chicken breast,144.0,25.08,3.11,1.84,135.7,1,0,0,0,1,0.75,Synthetic
1662,Marinated Original Tuna Fillet,Protein,1 medium chicken thigh,106.01,18.63,0.5,2.12,87.5,1,0,0,0,1,0.5,Synthetic
1663,Cold-Pressed Bahraini Salmon Fillet,Protein,1/2 small chicken breast,63.51,31.0,10.02,0.82,217.5,0,0,0,0,0,0.5,Synthetic
1664,Herb-Infused Farm-Fresh Beef Steak,Protein,1 medium chicken thigh,85.16,21.03,0.5,0.0,88.6,0,0,1,0,1,0.25,Synthetic
1665,Grilled Premium Cod Fillet,Protein,1/2 small chicken breast,110.44,11.96,0.5,0.0,52.3,0,0,0,0,0,0.75,Synthetic
1666,Spiced Premium Pork Tenderloin,Protein,1 medium chicken thigh,144.0,13.23,4.43,3.88,108.3,0,0,1,0,1,0.5,Synthetic
1667,Extra-Virgin Premium Lentils,Protein,1 piece,30.72,26.4,2.91,0.0,131.8,0,0,1,0,0,0.25,Synthetic
1668,Natural Garden Pork Tenderloin,Protein,Palm-sized portion,67.92,15.46,7.29,3.42,141.1,0,0,0,0,1,1.0,Synthetic
1669,Roasted Premium White Beans,Protein,Palm-sized portion,42.22,12.24,9.84,0.0,137.5,0,0,1,0,0,1.0,Synthetic
1670,Enriched Original Egg Omelette,Protein,1 medium chicken thigh,68.56,16.99,5.77,4.6,138.3,1,0,0,0,0,0.25,Synthetic
1671,Natural Wild Lentils,Protein,1 piece,93.24,19.05,1.33,1.28,93.3,1,0,0,0,1,0.0,Synthetic
1672,Marinated Classic Lamb Chop,Protein,1 piece,30.26,23.34,3.1,1.34,126.6,1,0,0,0,0,0.5,Synthetic
1673,Cold-Pressed Traditional White Beans,Protein,1 medium chicken thigh,46.26,29.53,9.27,1.34,206.9,0,0,0,0,1,0.5,Synthetic
1674,Fortified Wild Lamb Chop,Protein,1/2 small chicken breast,68.43,26.58,0.5,0.0,110.8,1,0,1,0,1,1.0,Synthetic
1675,Zero-Fat Variety White Beans,Protein,Palm-sized portion,69.89,25.83,6.77,0.59,166.6,0,0,0,0,1,0.75,Synthetic
1676,Grilled Bahraini Beef Steak,Protein,1 medium chicken thigh,67.86,25.39,8.24,0.0,175.7,1,0,0,0,1,0.75,Synthetic
1677,Grilled Wild Salmon Fillet,Protein,1 medium chicken thigh,97.78,26.08,8.29,0.0,178.9,1,0,0,0,0,0.25,Synthetic
1678,Steamed Wild Sardines,Protein,1 medium chicken thigh,75.76,12.03,10.95,0.0,146.7,0,0,0,0,1,0.25,Synthetic
1679,Cold-Pressed Farm-Fresh Shrimp,Protein,1 medium chicken thigh,69.69,11.97,0.5,1.73,59.3,0,0,0,0,1,0.75,Synthetic
1680,Marinated Gourmet Beef Steak,Protein,Palm-sized portion,59.25,31.0,15.47,3.03,275.4,0,0,0,0,0,0.25,Synthetic
1681,Lightly-Salted Special Chicken Breast,Protein,1 medium chicken thigh,63.85,20.51,0.5,1.5,92.5,1,0,0,0,0,1.0,Synthetic
1682,Reduced-Fat Premium Tuna Fillet,Protein,1 medium chicken thigh,130.25,5.63,0.5,1.33,32.3,0,0,0,0,1,0.25,Synthetic
1683,Enriched Gourmet Tempeh,Protein,Palm-sized portion,62.18,9.22,2.82,0.48,64.2,0,0,1,0,1,0.5,Synthetic
1684,Baked Classic Beef Steak,Protein,1/2 small chicken breast,92.89,9.78,0.5,0.0,43.6,0,0,0,0,1,0.25,Synthetic
1685,Unsalted Heritage Beef Steak,Protein,1/2 small chicken breast,54.47,11.53,6.33,0.85,106.5,1,0,1,0,0,1.0,Synthetic
1686,Reduced-Fat Traditional Lamb Chop,Protein,Palm-sized portion,98.2,12.38,11.58,0.41,155.4,0,0,0,0,1,1.0,Synthetic
1687,Herb-Infused Mix Tempeh,Protein,1 medium chicken thigh,65.87,20.08,3.3,3.07,122.3,1,0,0,0,1,0.0,Synthetic
1688,Spiced Heritage Black Beans,Protein,1 medium chicken thigh,82.28,6.43,5.2,0.0,72.5,1,0,0,0,1,0.0,Synthetic
